,location,type,subtype,price,room_number,area,kitchen_equipped,furnished,fireplace,terrace,terrace_area,garden,garden_area,land_surface,facade_count,swimming_pool,building_condition,Commune,Sous_Commune,Commune_Principale,Province,Region,median_terrace_area,median_garden_area,median_facade,type_num,APARTMENT,BUNGALOW,CASTLE,CHALET,COUNTRY_COTTAGE,DUPLEX,EXCEPTIONAL_PROPERTY,FARMHOUSE,FLAT_STUDIO,GROUND_FLOOR,HOUSE,KOT,LOFT,MANOR_HOUSE,MANSION,OTHER_PROPERTY,PENTHOUSE,SERVICE_FLAT,TOWN_HOUSE,TRIPLEX,VILLA,AS_NEW,GOOD,JUST_RENOVATED,TO_BE_DONE_UP,TO_RENOVATE,TO_RESTORE,BRUXELLES,VLAANDEREN,WALLONIE,ANVERS,BRABANT FLAMAND,BRABANT WALLON,BRUXELLES,FLANDRE-OCCIDENTALE,FLANDRE-ORIENTALE,HAINAUT,LIEGE,LIMBOURG,LUXEMBOURG,NAMUR
0,6800,HOUSE,HOUSE,295000.0,5,460.0,1,0,0,1,10.0,0,,321.0,2.0,0,TO_BE_DONE_UP,Libramont-Chevigny,Non,LIBRAMONT-CHEVIGNY,LUXEMBOURG,WALLONIE,10.0,10.0,2.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,7800,HOUSE,HOUSE,230000.0,4,128.0,0,0,0,0,,0,,570.0,4.0,0,,Ath,Non,ATH,HAINAUT,WALLONIE,16.0,16.0,4.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2,6044,HOUSE,HOUSE,130000.0,2,110.0,1,1,0,1,,1,300.0,470.0,3.0,0,TO_BE_DONE_UP,Roux,Oui,CHARLEROI,HAINAUT,WALLONIE,16.0,16.0,3.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
3,4970,HOUSE,HOUSE,450000.0,9,400.0,1,0,0,0,,1,1300.0,1500.0,4.0,0,,Stavelot,Non,STAVELOT,LIEGE,WALLONIE,16.0,16.0,4.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
4,9890,HOUSE,MANSION,435000.0,5,452.0,0,0,0,0,,1,,460.0,4.0,0,TO_RENOVATE,Gavere,Non,GAVERE,FLANDRE-ORIENTALE,VLAANDEREN,16.0,200.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5,9450,HOUSE,HOUSE,265000.0,3,180.0,0,0,0,0,,1,,240.0,,0,TO_BE_DONE_UP,Haaltert,Non,HAALTERT,FLANDRE-ORIENTALE,VLAANDEREN,16.0,200.0,2.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
6,4020,HOUSE,HOUSE,121000.0,3,85.0,1,0,0,1,20.0,0,,69.0,,0,GOOD,Liège,Non,LIÈGE,LIEGE,WALLONIE,20.0,20.0,2.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
7,1160,HOUSE,HOUSE,550000.0,3,150.0,0,0,1,1,10.0,1,100.0,141.0,2.0,0,TO_RENOVATE,Auderghem,Non,AUDERGHEM,BRUXELLES,BRUXELLES,10.0,10.0,2.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
8,1850,HOUSE,HOUSE,490000.0,4,200.0,1,0,0,0,,1,90.0,190.0,,0,GOOD,Grimbergen,Non,GRIMBERGEN,BRABANT FLAMAND,VLAANDEREN,16.0,16.0,2.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
10,2170,HOUSE,HOUSE,325000.0,3,145.0,1,0,0,1,17.0,1,62.0,130.0,2.0,0,JUST_RENOVATED,Merksem,Oui,ANTWERPEN,ANVERS,VLAANDEREN,17.0,17.0,2.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
